stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104086,Westbound McCallum at Shell Gas Station,48.453216374031,-123.511308315044,104086,0,,Westbound McCallum at Shell Gas Station
104087,Southbound Wishart at Allendale,48.4246789957205,-123.491637999953,104087,0,,Southbound Wishart at Allendale
104088,Southbound Wishart at Tipton,48.4220499951929,-123.49316099964001,104088,0,,Southbound Wishart at Tipton
104089,Southbound Wishart at Stornaway,48.4189949673048,-123.495275486351,104089,0,,Southbound Wishart at Stornaway
104090,Southbound Wishart at Rockwood,48.415522995496396,-123.495415999418,104090,0,,Southbound Wishart at Rockwood
104091,Southbound 3480 block Wishart,48.411805995653,-123.498754000047,104091,0,,Southbound 3480 block Wishart
104092,Southbound Wishart at Bunker,48.40884799593479,-123.500423999514,104092,0,,Southbound Wishart at Bunker
104093,Westbound Latoria at Bezanton,48.4071799955482,-123.50425599988701,104093,0,,Westbound Latoria at Bezanton
104094,Northbound Desmond at Latoria,48.4115429953127,-123.516763000345,104094,0,,Northbound Desmond at Latoria
104095,Northbound Desmond at Wendy,48.413361995520795,-123.514974000421,104095,0,,Northbound Desmond at Wendy
104096,Northbound Sunheights at Columbus,48.4173589959176,-123.51550999959001,104096,0,,Northbound Sunheights at Columbus
104097,Northbound Sunheights at Batting,48.4189159956874,-123.51448299969701,104097,0,,Northbound Sunheights at Batting
104098,Eastbound Sunheghts at Blue Sky,48.420018995830596,-123.512098999815,104098,0,,Eastbound Sunheghts at Blue Sky
104099,Northbound Fulton at Karger,48.4212339953066,-123.50850400033501,104099,0,,Northbound Fulton at Karger
104100,Westbound Bexhill at Bexhill Place,48.4236939956299,-123.510722999468,104100,0,,Westbound Bexhill at Bexhill Place
104101,Southbound Cuaulta at Zapata,48.426816995387696,-123.511192000131,104101,0,,Southbound Cuaulta at Zapata
104102,Westbound 900 block Walfred,48.427558995862896,-123.51401400021501,104102,0,,Westbound 900 block Walfred
104103,Northbound Jacklin at Walfred,48.4299219702153,-123.517656521185,104103,0,,Northbound Jacklin at Walfred
104104,Northbound 3227 block Jacklin,48.4329339951055,-123.515723000196,104104,0,,Northbound 3227 block Jacklin
104105,Eastbound 2160 block McKenzie,48.4688189957163,-123.31222600061601,104105,0,,Eastbound 2160 block McKenzie
104106,Northbound McCallum at Savory,48.4554922903303,-123.515389519747,104106,0,,Northbound McCallum at Savory
104107,Southbound McCallum at Savory,48.4554383759881,-123.51558518619801,104107,0,,Southbound McCallum at Savory
104108,Eastbound W Campus at Serpentine,48.437623995379894,-123.47562499937101,104108,0,,Eastbound W Campus at Serpentine
104109,Northbound Cuaulta at Zapata,48.4255709952607,-123.509543999622,104109,0,,Northbound Cuaulta at Zapata
104110,Westbound Admirals at Cowper,48.4562899953371,-123.41380199972801,104110,0,,Westbound Admirals at Cowper
104111,Eastbound Fairfield at Penwell,48.421741995735395,-123.364119999715,104111,0,,Eastbound Fairfield at Penwell
104112,Southbound Millstream at Treanor,48.4642089957174,-123.500033000436,104112,0,,Southbound Millstream at Treanor
800001,Uvic Exchange,48.466182258046395,-123.30868495755001,800001,1,,Uvic Exchange
800003,Langford Exchange,48.445429995477795,-123.505220000085,800003,1,,Langford Exchange
800005,McTavish Exchange,48.6305029960059,-123.41370199931,800005,1,,McTavish Exchange
800011,Royal Oak Exchange,48.4989469955054,-123.387992000217,800011,1,,Royal Oak Exchange
800012,Saanichton Exchange,48.5940579952826,-123.416811000636,800012,1,,Saanichton Exchange
800017,Colwwod Exchange,48.4448938599464,-123.46696713231,800017,1,,Colwwod Exchange
